Chinese,English
(n.) 能力；才能，才智,ability
(n.) ［公司等］收購；獲得(物)；獲得,acquisition
(adj) 附屬的；隸屬的,affiliated
(v.) 分派；分配,allocate
(n.) 分派；分配,allocation
(n.) 定期補貼，津貼；定量；限額,allowance
(n.) 輪流，交替；(adj.) 輪流的；交替的,alternate
(n.) (adj.) 代用方案；（計劃或方法）替代方案；可替代的,alternative
(n.) 校友,alumnus (sl.) -> alumni (pl.)
(v.) 安排；準備；籌劃,arrange
(n.) 安排；籌劃；準備（工作）；商定；約定,arrangement
(n.) 方面；層面,aspect
(v.) 幫助；協助；援助,assist
(n.) 幫助；協助；援助,assistance
(n.) 協會；社團；聯盟,association
(n.) (v.) 特性；特質；屬性,attribute
(n.) 威信；權力；管轄權,authority
(v.) 批准，准許；授權，委託,authorize
(n.) 擁有物；行李,belongings
(adj.) 有利的,beneficial
(n.) (v.) 利益，好處；優勢,benefit
(n.) 董事會，理事會，委員會；薄木板,board
(n.) 獎金；花紅；紅利；津貼；額外的好處,bonus
(n.) 能力；才幹；水準,capability
(adj.) 有能力的；熟練的；能幹的,capable
(n.) (v.) 謹慎，小心，慎重,caution
(n.) 條件；情況；情形；行勢；境況,circumstance
(v.) 合作；協作,collaborate
(n.) 合作；協作,collaboration
(n.) 混合；結合；綜合,combination
(v.) 結合；聯合；合併,combine
(n.) （代表較大的組織決策或搜集資訊的）委員會,committee
(v.) 競爭,compete
(n.) 比賽,competition
(adj.) 競爭的；競賽的,competitive
(n.) 競爭者；參賽者,competitor
(n.) 組成部分；成分；零件,component
(adj.)廣泛的；包羅萬象的,comprehensive
(adv.)廣泛地,comprehensively
(v.) 妥協；折衷；讓步；和解,compromise
(v.) 承認；（不情願地）讓步，答應給，讓與,concede
(n.) 認可，讓步，妥協,concession
(v.) (使) 鞏固；（使）加強；（尤指企業）合併，聯合,consolidate
(n.) 鞏固；加強；（尤指企業）合併，聯合,consoliddation
(adj.) 建設性的；有益的；有用的；積極的,constructive
(v.) 貢獻，奉獻，捐獻（尤指錢）,contribute
(n.) 貢獻；捐助,contribution
(n.) 捐獻者；捐款者,contributor
(v.) 合作，協作；配合,cooperate
(n.) 合作，協作；配合,cooperation
(v.) 協調；使相配合；調節,coordinate
(n.) 協調，調節,coordination
(n.) 協調人，統籌者,coordinator
(adj.) （大）公司的,corporate
(n.) 大公司；集團公司,corporation
(v.) 貶值；折舊,depreciate
(n.) 折舊,depreciation
(v.) 描述，描寫，描繪,describe
(n.) 描述，描寫，描繪,description
(v.) （使）減員，（使）瘦身,downsize
(n.) 部分；部件；要素,element
(n.) 具備條件的；有資格的；合格的,eligibility
(adj.) 有資格的；適合的,eligible
(v.) 提高；增加；增強；增進,enhance
(v.) 增大；（使）擴大；（使）擴,enlarge
(n.) 組織；（尤指）公司，企業,enterprise
(n.) 企業家，創業者,entrepreneur
(adj.) （數量、大小）相同的，相等的；（地位、待遇）平等的，同等的；（能力、勇氣）勝任的，合適的,equal
(n.) 相等；等同；等式,equation
(adj.) 等值的；相等的；等同的,equivalent
(n.) 本質；實質；要素；極其重要；必不可少,essence
(adj.) 必要的，必不可少的（n.）必需品；不可缺少的東西,essential
(v.) 建立；設立；創立,establish
(v.) 擴張,expand
(n.) 擴張；擴大,expansion
(n.) 廣闊的,expansive
(v.) 預料，預計；期待,expect
(n.) 期盼；盼望；希望,expectation
(n.) 專家；內行；行家,expert
(n.) 專門知識,expertise
(adj.) 詳盡的；清楚的；明確的,explicit
(v.) 延伸；持續，延續；擴大；延長,extend
(n.) 伸展；延伸；擴建部分；電話分機,extension
(n.) 另外付費就可額外得到的東西 （adj.）額外的；附加的,extra
(n.) 公司；商號,firm
(v.)(使)集中目光；（使）逐漸聚焦,focus［on］
(n.) 模式；計畫；安排,format
(n.) 基金會,foundation
(n.) 特許經銷權,franchise
(n.) 功能,function
(n.) 基金；專款；資金(v.),fund
(adj.) 含蓄的，不直接言明的，暗示性的,implicit
(n.) 協會；學院,institute
(n.) 機構,institution
(n.) 保險,insurance
(n.) 領導素質，領導能力,leadership
(n.) 許可，授權，特許,license
(adj.) 當地的，本地的(n.),local
(v.) 位於/在附近/坐落在...等,locate
(v.) （使）合併；（使）融合,merge
(n.) （公司、企業等的）合併,merger
(adj.) 較不重要的；次要的；輕微的,minor
(n.) 公告，通知，貼示；注意；察覺（v.）看到；注意到；感覺到；通知,notice
(adv.) 工作場地外的；在外地的；外出中的,off-site
(n.) 組織；機構,organization
(v.) 組織；安排；規劃,organize
(v.) 勸服；說服,persuade
(v.) 擁有；具有,possess
(n.) 擁有；具有；所有物，個人物品；財產,possession
(adj.) 潛在的，可能的（n.）潛力，潛能,potential
(n.) 預防，預防措施,precaution
(adj.) 預防的，預防措施的,precautionary
(adj.) 不可缺的；事先需要的；必修的（n.）先決條件，前提，必備條件,prerequisite
(v.) 確定（事項的）優先次序,prioritize
(n.) 優先考慮的事,priority
(n.) 程序；手續；步驟,procedure
(v.) 繼續進行，繼續做；～to do sth (做完某事後)接著做,proceed
(v.) 過程；步驟（n.）處理；辦理,process
(v.) 進步，進展,progress
(adj.)逐漸的；漸進的,progressive
(n.) 所有物；財產；資產,property
(n.) 部分；份額；比率，比例；相稱，協調，均衡，勻稱,proportion
(n.) 建議；計畫；提案,proposal
(v.) 建議；提議；題出,propose
(n.) 接近，鄰近；鄰近,proximity
(v.) 追求；追趕；追捕；追擊,pursue
(n.) 追蹤；追擊,pursuit
(v.) 強化，加深，進一步證實（觀點、看法等）,reinforce
(v.) 緩解，減輕，解除（疼痛或擔憂）；使寬心；使寬慰,relieve
(v.) 改變...的形狀（或外觀）；重新塑造,remodel
(v.) 作為...的代表（或代理人）；作為...的代言人,represent
(n.) 作為...的代表（或代理人）；作為...的代言人,representation
(n.) 代表；代理人,representaive
(n.) 名譽；聲望；名望,reputation
(v.) 解決；解除；消除,resolve
(n.)（政府的）稅收，歲入；（公司的）收益,revenue
(n.) 競爭對手；敵手(v.)比得上,rival
(n.) 方案，計畫,scheme=plan
(n.) 處境，情況，形勢,situation
(adj.) 少量的，微小的,slight
(n.) 解決辦法；解決方案,solution
(n.) 專家；專業人員,specialist
(v.) 專門研究，專攻；專門從事,specialize
(n.) 專業；專長,specialty
(n.) 策略，手法,tactics
(n.) 接任；接管，接手,takeover
(n.) 樣板，範本,template
(adj.) 短暫的；暫時的，臨時的(n.)臨時工，臨時雇員,temporary
(adj.) 試驗（性）的，試探（性）的，暫時的,tentative
(v.) 譯，翻譯；轉化（尤指將計劃變為現實）,translate
