English,Chinese
ability,(n.) 能力；才能，才智
acquisition,(n.) ［公司等］收購；獲得(物)；獲得
affiliated,(adj) 附屬的；隸屬的
allocate,(v.) 分派；分配
allocation,(n.) 分派；分配
allowance,(n.) 定期補貼，津貼；定量；限額
alternate,(n.) 輪流，交替；(adj.) 輪流的；交替的
alternative,(n.) (adj.) 代用方案；（計劃或方法）替代方案；可替代的
alumnus (sl.) -> alumni (pl.),(n.) 校友
arrange,(v.) 安排；準備；籌劃
arrangement,(n.) 安排；籌劃；準備（工作）；商定；約定
aspect,(n.) 方面；層面
assist,(v.) 幫助；協助；援助
assistance,(n.) 幫助；協助；援助
association,(n.) 協會；社團；聯盟
attribute,(n.) (v.) 特性；特質；屬性
authority,(n.) 威信；權力；管轄權
authorize,(v.) 批准，准許；授權，委託
belongings,(n.) 擁有物；行李
beneficial,(adj.) 有利的
benefit,(n.) (v.) 利益，好處；優勢
board,(n.) 董事會，理事會，委員會；薄木板
bonus,(n.) 獎金；花紅；紅利；津貼；額外的好處
capability,(n.) 能力；才幹；水準
capable,(adj.) 有能力的；熟練的；能幹的
caution,(n.) (v.) 謹慎，小心，慎重
circumstance,(n.) 條件；情況；情形；行勢；境況
collaborate,(v.) 合作；協作
collaboration,(n.) 合作；協作
combination,(n.) 混合；結合；綜合
combine,(v.) 結合；聯合；合併
committee,(n.) （代表較大的組織決策或搜集資訊的）委員會
compete,(v.) 競爭
competition,(n.) 比賽
competitive,(adj.) 競爭的；競賽的
competitor,(n.) 競爭者；參賽者
component,(n.) 組成部分；成分；零件
comprehensive,(adj.)廣泛的；包羅萬象的
comprehensively,(adv.)廣泛地
compromise,(v.) 妥協；折衷；讓步；和解
concede,(v.) 承認；（不情願地）讓步，答應給，讓與
concession,(n.) 認可，讓步，妥協
consolidate,(v.) (使) 鞏固；（使）加強；（尤指企業）合併，聯合
consoliddation,(n.) 鞏固；加強；（尤指企業）合併，聯合
constructive,(adj.) 建設性的；有益的；有用的；積極的
contribute,(v.) 貢獻，奉獻，捐獻（尤指錢）
contribution,(n.) 貢獻；捐助
contributor,(n.) 捐獻者；捐款者
cooperate,(v.) 合作，協作；配合
cooperation,(n.) 合作，協作；配合
coordinate,(v.) 協調；使相配合；調節
coordination,(n.) 協調，調節
coordinator,(n.) 協調人，統籌者
corporate,(adj.) （大）公司的
corporation,(n.) 大公司；集團公司
depreciate,(v.) 貶值；折舊
depreciation,(n.) 折舊
describe,(v.) 描述，描寫，描繪
description,(n.) 描述，描寫，描繪
downsize,(v.) （使）減員，（使）瘦身
element,(n.) 部分；部件；要素
eligibility,(n.) 具備條件的；有資格的；合格的
eligible,(adj.) 有資格的；適合的
enhance,(v.) 提高；增加；增強；增進
enlarge,(v.) 增大；（使）擴大；（使）擴充
